INSERT INTO Staff VALUES ('S0001', 'Sowmya', 'Pujari', '1065', 'Polling Agent', '1000', 'B1C001');
INSERT INTO Staff VALUES ('S0029', 'Karan', 'Rajesh', '2211', 'Polling Agent', '1000', 'B4C003');
INSERT INTO Staff VALUES ('S0030', 'Mehar', 'Gatty', '2305', 'Security Agent', '750', 'B5C003');
INSERT INTO Staff VALUES ('S0031', 'Guneet', 'Sheikh', '1052', 'Polling Agent', '1000', 'B1C004');
INSERT INTO Staff VALUES ('S0032', 'Gaurav', 'Shetty', '1395', 'Security Agent', '750', 'B2C004');
INSERT INTO Staff VALUES ('S0033', 'Sanjana', 'Bhoja', '1442', 'Polling Agent', '1000', 'B3C004');
INSERT INTO Staff VALUES ('S0034', 'Shobha', 'Rai', '1547', 'Security Agent', '750', 'B4C004');
INSERT INTO Staff VALUES ('S0035', 'Siddharth', 'Kulkarni', '1593', 'Polling Agent', '1000', 'B5C004');
INSERT INTO Staff VALUES ('S0036', 'Ayaan', 'Banerjee', '1837', 'Security Agent', '750', 'B1C004');
INSERT INTO Staff VALUES ('S0037', 'Sowjanya', 'Prabhakaran', '2171', 'Polling Agent', '1000', 'B2C004');
INSERT INTO Staff VALUES ('S0038', 'Balvan', 'Dalvi', '2530', 'Security Agent', '750', 'B3C004');
INSERT INTO Staff VALUES ('S0039', 'Upkaar', 'Nair', '2915', 'Polling Agent', '1000', 'B4C004');
INSERT INTO Staff VALUES ('S0040', 'Tanvi', 'Mendonsa', '2985', 'Security Agent', '750', 'B5C004');
INSERT INTO Staff VALUES ('S0041', 'Rudra', 'Shetty', '2739', 'Polling Agent', '1000', 'B1C005');
INSERT INTO Staff VALUES ('S0042', 'Sowjanya', 'Kaur', '3214', 'Security Agent', '750', 'B2C005');
INSERT INTO Staff VALUES ('S0043', 'Ishana', 'Tipparti', '3283', 'Polling Agent', '1000', 'B3C005');
INSERT INTO Staff VALUES ('S0044', 'Dharmesh', 'Pujari', '3964', 'Security Agent', '750', 'B4C005');
INSERT INTO Staff VALUES ('S0045', 'Pranit', 'Holla', '5749', 'Polling Agent', '1000', 'B5C005');
INSERT INTO Staff VALUES ('S0046', 'Yashika', 'Kaur', '5993', 'Polling Agent', '1000', 'B2C005');
INSERT INTO Staff VALUES ('S0047', 'Ekapad', 'Dsouza', '7686', 'Security Agent', '750', 'B2C005');
INSERT INTO Staff VALUES ('S0048', 'Vidya', 'Rajesh', '10383', 'Polling Agent', '1000', 'B4C005');
INSERT INTO Staff VALUES ('S0049', 'Rushil', 'Shet', '1009', 'Polling Agent', '1000', 'B1C006');
INSERT INTO Staff VALUES ('S0050', 'Neha', 'Das', '1299', 'Security Agent', '750', 'B2C006');
INSERT INTO Staff VALUES ('S0051', 'Harish', 'Kulkarni', '1346', 'Polling Agent', '1000', 'B3C006');
INSERT INTO Staff VALUES ('S0052', 'Bakhshi', 'Nand', '1550', 'Security Agent', '750', 'B4C006');
INSERT INTO Staff VALUES ('S0053', 'Hitesh', 'Naik', '1671', 'Polling Agent', '1000', 'B5C006');
INSERT INTO Staff VALUES ('S0054', 'Nishitha', 'Fernandes', '1747', 'Security Agent', '750', 'B1C006');
INSERT INTO Staff VALUES ('S0055', 'Dinella', 'Dalvi', '1831', 'Polling Agent', '1000', 'B2C006');
INSERT INTO Staff VALUES ('S0056', 'Akshita', 'Kavser', '1834', 'Security Agent', '750', 'B3C006');
INSERT INTO Staff VALUES ('S0057', 'Mishka', 'Padmanabha', '1847', 'Polling Agent', '1000', 'B4C006');
INSERT INTO Staff VALUES ('S0058', 'Abhinav', 'Nair', '1875', 'Security Agent', '750', 'B5C006');
INSERT INTO Staff VALUES ('S0059', 'Arnav', 'Nayak', '1139', 'Polling Agent', '1000', 'B1C007');
INSERT INTO Staff VALUES ('S0060', 'Deepika', 'Hiremath', '1794', 'Security Agent', '750', 'B2C007');
INSERT INTO Staff VALUES ('S0061', 'Supritha', 'Vernekar', '1966', 'Polling Agent', '1000', 'B3C007');
INSERT INTO Staff VALUES ('S0062', 'Ishana', 'Bhardwaj', '1974', 'Security Agent', '750', 'B4C007');
INSERT INTO Staff VALUES ('S0063', 'Harshitha', 'Chiplunkar', '2402', 'Polling Agent', '1000', 'B5C007');
INSERT INTO Staff VALUES ('S0064', 'Alolika', 'Raval', '2664', 'Security Agent', '750', 'B1C007');
INSERT INTO Staff VALUES ('S0065', 'Keerthi', 'Acharya', '2749', 'Polling Agent', '1000', 'B2C007');
INSERT INTO Staff VALUES ('S0066', 'Nimit', 'Rajesh', '2777', 'Security Agent', '750', 'B3C007');
INSERT INTO Staff VALUES ('S0067', 'Kahaan', 'Fernandes', '2797', 'Polling Agent', '1000', 'B4C007');
INSERT INTO Staff VALUES ('S0068', 'Ranbir', 'Nair', '2807', 'Security Agent', '750', 'B5C007');
INSERT INTO Staff VALUES ('S0069', 'Gopal', 'Kamath', '2576', 'Polling Agent', '1000', 'B1C008');
INSERT INTO Staff VALUES ('S0070', 'Nimit', 'Belligatti', '3993', 'Security Agent', '750', 'B2C008');
INSERT INTO Staff VALUES ('S0071', 'Arjun', 'Bhat', '4604', 'Polling Agent', '1000', 'B3C008');
INSERT INTO Staff VALUES ('S0072', 'Sarita', 'Kouser', '4916', 'Security Agent', '750', 'B4C008');
INSERT INTO Staff VALUES ('S0073', 'Zayan', 'Patil', '6073', 'Polling Agent', '1000', 'B5C008');
INSERT INTO Staff VALUES ('S0074', 'Abeer', 'Kamath', '6435', 'Security Agent', '750', 'B1C008');
INSERT INTO Staff VALUES ('S0075', 'Raunak', 'Kavser', '6802', 'Polling Agent', '1000', 'B2C008');
INSERT INTO Staff VALUES ('S0076', 'Aryan', 'Adiga', '6825', 'Security Agent', '750', 'B3C008');
INSERT INTO Staff VALUES ('S0077', 'Mallika', 'Thampy', '7127', 'Polling Agent', '1000', 'B4C008');
INSERT INTO Staff VALUES ('S0078', 'Ranjani', 'Andrade', '7932', 'Security Agent', '750', 'B5C008');
INSERT INTO Staff VALUES ('S0079', 'Sonika', 'Dawangave', '1054', 'Polling Agent', '1000', 'B1C009');
INSERT INTO Staff VALUES ('S0080', 'Akash', 'Kaur', '2112', 'Security Agent', '750', 'B2C009');
INSERT INTO Staff VALUES ('S0081', 'Ayush', 'Kulkarni', '2179', 'Polling Agent', '1000', 'B3C009');
INSERT INTO Staff VALUES ('S0082', 'Avni', 'Gamskar', '2670', 'Security Agent', '750', 'B4C009');
INSERT INTO Staff VALUES ('S0083', 'Raj', 'Vernekar', '2718', 'Polling Agent', '1000', 'B5C009');
INSERT INTO Staff VALUES ('S0084', 'Anirudh', 'Saha', '3225', 'Security Agent', '750', 'B1C009');
INSERT INTO Staff VALUES ('S0085', 'Abitha', 'Namnaik', '3295', 'Polling Agent', '1000', 'B2C009');
INSERT INTO Staff VALUES ('S0086', 'Shambhavi', 'Shet', '4249', 'Security Agent', '750', 'B3C009');
INSERT INTO Staff VALUES ('S0087', 'Upkaar', 'Kamath', '4299', 'Polling Agent', '1000', 'B4C009');
INSERT INTO Staff VALUES ('S0088', 'Dileep', 'Kumar', '4377', 'Security Agent', '750', 'B5C009');
INSERT INTO Staff VALUES ('S0089', 'Rachit', 'Dawangave', '1038', 'Polling Agent', '1000', 'B1C010');
INSERT INTO Staff VALUES ('S0090', 'Pavati', 'Gamskar', '1908', 'Security Agent', '750', 'B2C010');
INSERT INTO Staff VALUES ('S0091', 'Namitha', 'Prabhakaran', '1983', 'Polling Agent', '1000', 'B3C010');
INSERT INTO Staff VALUES ('S0092', 'Kavyashri', 'Pai', '2263', 'Security Agent', '750', 'B4C010');
INSERT INTO Staff VALUES ('S0093', 'Neha', 'Dawangave', '2274', 'Polling Agent', '1000', 'B5C010');
INSERT INTO Staff VALUES ('S0094', 'Ananya', 'Keshri', '2342', 'Security Agent', '750', 'B1C010');
INSERT INTO Staff VALUES ('S0095', 'Krisha', 'Bharanya', '2609', 'Polling Agent', '1000', 'B2C010');
INSERT INTO Staff VALUES ('S0096', 'Vaibhavi', 'Bharanya', '2639', 'Security Agent', '750', 'B3C010');
INSERT INTO Staff VALUES ('S0097', 'Vibha', 'Namnaik', '2676', 'Polling Agent', '1000', 'B4C010');
INSERT INTO Staff VALUES ('S0098', 'Dileep', 'Chatterjee', '2714', 'Security Agent', '750', 'B5C010');
INSERT INTO Staff VALUES ('S0099', 'Nandita', 'Prabhakaran', '1248', 'Polling Agent', '1000', 'B1C011');
INSERT INTO Staff VALUES ('S0100', 'Supritha', 'Dalvi', '3971', 'Security Agent', '750', 'B2C011');
INSERT INTO Staff VALUES ('S0101', 'Kavitha', 'Saniel', '4324', 'Polling Agent', '1000', 'B3C011');
INSERT INTO Staff VALUES ('S0102', 'Charan', 'Kumari', '4382', 'Security Agent', '750', 'B4C011');
INSERT INTO Staff VALUES ('S0103', 'Akhil', 'Naik', '4487', 'Polling Agent', '1000', 'B5C011');
INSERT INTO Staff VALUES ('S0104', 'Ekansh', 'Bhoja', '4493', 'Security Agent', '750', 'B1C011');
INSERT INTO Staff VALUES ('S0105', 'Dona', 'Saniel', '4554', 'Polling Agent', '1000', 'B2C011');
INSERT INTO Staff VALUES ('S0106', 'Girindra', 'Nair', '4696', 'Security Agent', '750', 'B3C011');
INSERT INTO Staff VALUES ('S0107', 'Taahira', 'Thampy', '4812', 'Polling Agent', '1000', 'B4C011');
INSERT INTO Staff VALUES ('S0108', 'Abeer', 'Babu', '5019', 'Security Agent', '750', 'B5C011');
INSERT INTO Staff VALUES ('S0109', 'Sonika', 'Padmanabha', '1333', 'Polling Agent', '1000', 'B1C012');
INSERT INTO Staff VALUES ('S0110', 'Arpitha', 'Dhamdhame', '1761', 'Security Agent', '750', 'B2C012');
INSERT INTO Staff VALUES ('S0111', 'Tejas', 'Shet', '1797', 'Polling Agent', '1000', 'B3C012');
INSERT INTO Staff VALUES ('S0112', 'Tejas', 'Nand', '1818', 'Security Agent', '750', 'B4C012');
INSERT INTO Staff VALUES ('S0113', 'Sapna', 'Shah', '1846', 'Polling Agent', '1000', 'B5C012');
INSERT INTO Staff VALUES ('S0114', 'Vivek', 'Vernekar', '2221', 'Security Agent', '750', 'B1C012');
INSERT INTO Staff VALUES ('S0115', 'Pramila', 'Nayak', '2224', 'Polling Agent', '1000', 'B2C012');
INSERT INTO Staff VALUES ('S0116', 'Rebecca', 'Singh', '2381', 'Security Agent', '750', 'B3C012');
INSERT INTO Staff VALUES ('S0117', 'Sonika', 'Uchil', '2395', 'Polling Agent', '1000', 'B4C012');
INSERT INTO Staff VALUES ('S0118', 'Dharun', 'Shetty', '2414', 'Security Agent', '750', 'B5C012');
INSERT INTO Staff VALUES ('S0119', 'Saloni', 'Kaur', '1419', 'Polling Agent', '1000', 'B1C013');
INSERT INTO Staff VALUES ('S0120', 'Renuka', 'Acharya', '4029', 'Security Agent', '750', 'B2C013');
INSERT INTO Staff VALUES ('S0121', 'Saksham', 'Gamskar', '4065', 'Polling Agent', '1000', 'B3C013');
INSERT INTO Staff VALUES ('S0122', 'Sahana', 'Padmanabha', '4093', 'Security Agent', '750', 'B4C013');
INSERT INTO Staff VALUES ('S0123', 'Anupama', 'Shetty', '4235', 'Polling Agent', '1000', 'B5C013');
INSERT INTO Staff VALUES ('S0124', 'Vedant', 'Shukla', '4405', 'Security Agent', '750', 'B1C013');
INSERT INTO Staff VALUES ('S0125', 'Harini', 'Bal', '4525', 'Polling Agent', '1000', 'B2C013');
INSERT INTO Staff VALUES ('S0126', 'Indrajit', 'Vernekar', '4558', 'Security Agent', '750', 'B3C013');
INSERT INTO Staff VALUES ('S0127', 'Prakruthi', 'Rai', '5911', 'Polling Agent', '1000', 'B4C013');
INSERT INTO Staff VALUES ('S0128', 'Hredhaan', 'Mathew', '6028', 'Security Agent', '750', 'B5C013');
INSERT INTO Staff VALUES ('S0129', 'Abhinav', 'Holla', '1048', 'Polling Agent', '1000', 'B1C014');
INSERT INTO Staff VALUES ('S0130', 'Soumyashree', 'Prajapati', '2489', 'Security Agent', '750', 'B2C014');
INSERT INTO Staff VALUES ('S0131', 'Sandhya', 'Shukla', '2871', 'Polling Agent', '1000', 'B3C014');
INSERT INTO Staff VALUES ('S0132', 'Jayanth', 'Fernandes', '3006', 'Security Agent', '750', 'B4C014');
INSERT INTO Staff VALUES ('S0133', 'Charan', 'Almeida', '3217', 'Polling Agent', '1000', 'B5C014');
INSERT INTO Staff VALUES ('S0134', 'Grishma', 'Pai', '3257', 'Security Agent', '750', 'B1C014');
INSERT INTO Staff VALUES ('S0135', 'Fitan', 'Manjunath', '3294', 'Polling Agent', '1000', 'B2C014');
INSERT INTO Staff VALUES ('S0136', 'Karan', 'Dhamdhame', '3322', 'Security Agent', '750', 'B3C014');
INSERT INTO Staff VALUES ('S0137', 'Yatan', 'Belligatti', '3463', 'Polling Agent', '1000', 'B4C014');
INSERT INTO Staff VALUES ('S0138', 'Adhira', 'Mendonsa', '3717', 'Security Agent', '750', 'B5C014');
INSERT INTO Staff VALUES ('S0139', 'Dharun', 'Dawangave', '1218', 'Polling Agent', '1000', 'B1C015');
INSERT INTO Staff VALUES ('S0140', 'Warinder', 'Tipparti', '2460', 'Security Agent', '750', 'B2C015');
INSERT INTO Staff VALUES ('S0141', 'Dhiraj', 'Manjunath', '2975', 'Polling Agent', '1000', 'B3C015');
INSERT INTO Staff VALUES ('S0142', 'Abitha', 'Raval', '3745', 'Security Agent', '750', 'B4C015');
INSERT INTO Staff VALUES ('S0143', 'Deekshitha', 'Nair', '4224', 'Polling Agent', '1000', 'B5C015');
INSERT INTO Staff VALUES ('S0144', 'Prisha', 'Singh', '4271', 'Security Agent', '750', 'B1C015');
INSERT INTO Staff VALUES ('S0145', 'Amoli', 'Nair', '4606', 'Polling Agent', '1000', 'B2C015');
INSERT INTO Staff VALUES ('S0146', 'Atiksh', 'Shah', '4671', 'Security Agent', '750', 'B3C015');
INSERT INTO Staff VALUES ('S0147', 'Chaithra', 'Bhat', '4781', 'Polling Agent', '1000', 'B4C015');
INSERT INTO Staff VALUES ('S0148', 'Suraksha', 'Gatty', '4789', 'Security Agent', '750', 'B5C015');
INSERT INTO Staff VALUES ('S0149', 'Charan', 'Kavser', '1073', 'Polling Agent', '1000', 'B1C016');
INSERT INTO Staff VALUES ('S0150', 'Sushma', 'Namnaik', '1441', 'Security Agent', '750', 'B2C016');
INSERT INTO Staff VALUES ('S0151', 'Tanish', 'Kini', '1453', 'Polling Agent', '1000', 'B3C016');
INSERT INTO Staff VALUES ('S0152', 'Chaithra', 'Mardhekar', '1468', 'Security Agent', '750', 'B4C016');
INSERT INTO Staff VALUES ('S0153', 'Prithvi', 'Babu', '1479', 'Polling Agent', '1000', 'B5C016');
INSERT INTO Staff VALUES ('S0154', 'Siddharth', 'Bal', '1622', 'Security Agent', '750', 'B1C016');
INSERT INTO Staff VALUES ('S0155', 'Meghana', 'Naik', '1816', 'Polling Agent', '1000', 'B2C016');
INSERT INTO Staff VALUES ('S0156', 'Javeria', 'Prabhu', '1940', 'Security Agent', '750', 'B3C016');
INSERT INTO Staff VALUES ('S0157', 'Akshitha', 'Nayak', '1973', 'Polling Agent', '1000', 'B4C016');
INSERT INTO Staff VALUES ('S0158', 'Meghana', 'Kini', '2127', 'Security Agent', '750', 'B5C016');
INSERT INTO Staff VALUES ('S0159', 'Nitesh', 'Manjunath', '1389', 'Polling Agent', '1000', 'B1C017');
INSERT INTO Staff VALUES ('S0160', 'Sahana', 'Nand', '2595', 'Security Agent', '750', 'B2C017');
INSERT INTO Staff VALUES ('S0161', 'Suhasini', 'Banerjee', '2767', 'Polling Agent', '1000', 'B3C017');
INSERT INTO Staff VALUES ('S0162', 'Arjun', 'Acharya', '2847', 'Security Agent', '750', 'B4C017');
INSERT INTO Staff VALUES ('S0163', 'Pranay', 'Sheikh', '3393', 'Polling Agent', '1000', 'B5C017');
INSERT INTO Staff VALUES ('S0164', 'Saloni', 'Bal', '3405', 'Security Agent', '750', 'B1C017');
INSERT INTO Staff VALUES ('S0165', 'Jagat', 'Moolya', '3441', 'Polling Agent', '1000', 'B2C017');
INSERT INTO Staff VALUES ('S0166', 'Shubhangi', 'Gamskar', '3522', 'Security Agent', '750', 'B3C017');
INSERT INTO Staff VALUES ('S0167', 'Parv', 'Belligatti', '4397', 'Polling Agent', '1000', 'B4C017');
INSERT INTO Staff VALUES ('S0168', 'Chaithra', 'Mugeraya', '4509', 'Security Agent', '750', 'B5C017');
INSERT INTO Staff VALUES ('S0169', 'Aryan', 'Rai', '1643', 'Polling Agent', '1000', 'B1C018');
INSERT INTO Staff VALUES ('S0170', 'Bachittar', 'Vernekar', '2795', 'Security Agent', '750', 'B2C018');
INSERT INTO Staff VALUES ('S0171', 'Pavitra', 'Nagane', '2856', 'Polling Agent', '1000', 'B3C018');
INSERT INTO Staff VALUES ('S0172', 'Kavitha', 'Rajesh', '2908', 'Security Agent', '750', 'B4C018');
INSERT INTO Staff VALUES ('S0173', 'Namratha', 'Gatty', '2912', 'Polling Agent', '1000', 'B5C018');
INSERT INTO Staff VALUES ('S0174', 'Dhruv', 'Chavare', '2973', 'Security Agent', '750', 'B1C018');
INSERT INTO Staff VALUES ('S0175', 'Gautam', 'Mendonsa', '3092', 'Polling Agent', '1000', 'B2C018');
INSERT INTO Staff VALUES ('S0176', 'Pavitra', 'Mathew', '3339', 'Security Agent', '750', 'B3C018');
INSERT INTO Staff VALUES ('S0177', 'Vidya', 'Chatterjee', '3798', 'Polling Agent', '1000', 'B4C018');
INSERT INTO Staff VALUES ('S0178', 'Chaitanya', 'Singh', '3926', 'Security Agent', '750', 'B5C018');
INSERT INTO Staff VALUES ('S0179', 'Aloke', 'Belligatti', '1075', 'Polling Agent', '1000', 'B1C019');
INSERT INTO Staff VALUES ('S0180', 'Bhoomika', 'Rai', '1601', 'Security Agent', '750', 'B2C019');
INSERT INTO Staff VALUES ('S0181', 'Trupti', 'Dawangave', '1626', 'Polling Agent', '1000', 'B3C019');
INSERT INTO Staff VALUES ('S0182', 'Javeria', 'Jain', '1711', 'Security Agent', '750', 'B4C019');
INSERT INTO Staff VALUES ('S0183', 'Reyansh', 'Kumar', '1717', 'Polling Agent', '1000', 'B5C019');
INSERT INTO Staff VALUES ('S0184', 'Ranjani', 'Thampy', '1900', 'Security Agent', '750', 'B1C019');
INSERT INTO Staff VALUES ('S0185', 'Balhaar', 'Ramesh', '1958', 'Polling Agent', '1000', 'B2C019');
INSERT INTO Staff VALUES ('S0186', 'Harshil', 'Mendonsa', '2014', 'Security Agent', '750', 'B3C019');
INSERT INTO Staff VALUES ('S0187', 'Saisha', 'Rai', '2018', 'Polling Agent', '1000', 'B4C019');
INSERT INTO Staff VALUES ('S0188', 'Jeet', 'Jain', '2167', 'Security Agent', '750', 'B5C019');
INSERT INTO Staff VALUES ('S0189', 'Dhanashri', 'Kumari', '1147', 'Polling Agent', '1000', 'B1C020');
INSERT INTO Staff VALUES ('S0190', 'Vidya', 'Shah', '1970', 'Security Agent', '750', 'B2C020');
INSERT INTO Staff VALUES ('S0191', 'Ananya', 'Singh', '2203', 'Polling Agent', '1000', 'B3C020');
INSERT INTO Staff VALUES ('S0192', 'Atiksh', 'Pujari', '2239', 'Security Agent', '750', 'B4C020');
INSERT INTO Staff VALUES ('S0193', 'Avi', 'Shetty', '2323', 'Polling Agent', '1000', 'B5C020');
INSERT INTO Staff VALUES ('S0194', 'Kripa', 'Chiplunkar', '2610', 'Security Agent', '750', 'B1C020');
INSERT INTO Staff VALUES ('S0195', 'Yash', 'Naik', '2689', 'Polling Agent', '1000', 'B2C020');
INSERT INTO Staff VALUES ('S0196', 'Sarita', 'Andrade', '3219', 'Security Agent', '750', 'B3C020');
INSERT INTO Staff VALUES ('S0197', 'Gautam', 'Manjunath', '3623', 'Polling Agent', '1000', 'B4C020');
INSERT INTO Staff VALUES ('S0198', 'Anmol', 'Hiremath', '3679', 'Security Agent', '750', 'B5C020');
INSERT INTO Staff VALUES ('S0199', 'Lavanya', 'Kulkarni', '1214', 'Polling Agent', '1000', 'B1C021');
INSERT INTO Staff VALUES ('S0200', 'Jagat', 'Bangera', '1844', 'Security Agent', '750', 'B2C021');
INSERT INTO Staff VALUES ('S0201', 'Pranit', 'Bansal', '1911', 'Polling Agent', '1000', 'B3C021');
INSERT INTO Staff VALUES ('S0202', 'Smruthi', 'Banerjee', '2037', 'Security Agent', '750', 'B4C021');
INSERT INTO Staff VALUES ('S0203', 'Sneha', 'Kini', '2109', 'Polling Agent', '1000', 'B5C021');
INSERT INTO Staff VALUES ('S0204', 'Dharun', 'Shetty', '2168', 'Security Agent', '750', 'B1C021');
INSERT INTO Staff VALUES ('S0205', 'Nirav', 'Babu', '2198', 'Polling Agent', '1000', 'B2C021');
INSERT INTO Staff VALUES ('S0206', 'Sowmya', 'Shukla', '2201', 'Security Agent', '750', 'B3C021');
INSERT INTO Staff VALUES ('S0207', 'Pavitra', 'Fernandes', '2229', 'Polling Agent', '1000', 'B4C021');
INSERT INTO Staff VALUES ('S0208', 'Joseph', 'Rao', '2240', 'Security Agent', '750', 'B5C021');
INSERT INTO Staff VALUES ('S0209', 'Manthan', 'Shah', '1080', 'Polling Agent', '1000', 'B1C022');
INSERT INTO Staff VALUES ('S0210', 'Rushil', 'Hiremath', '1161', 'Security Agent', '750', 'B2C022');
INSERT INTO Staff VALUES ('S0211', 'Hema', 'Pai', '1176', 'Polling Agent', '1000', 'B3C022');
INSERT INTO Staff VALUES ('S0212', 'Manthan', 'Vernekar', '1252', 'Security Agent', '750', 'B4C022');
INSERT INTO Staff VALUES ('S0213', 'Prajna', 'Bhardwaj', '1296', 'Polling Agent', '1000', 'B5C022');
INSERT INTO Staff VALUES ('S0214', 'Krisha', 'Nair', '1583', 'Security Agent', '750', 'B1C022');
INSERT INTO Staff VALUES ('S0215', 'Manvitha', 'Tipparti', '1624', 'Polling Agent', '1000', 'B2C022');
INSERT INTO Staff VALUES ('S0216', 'Anupama', 'Nayak', '1634', 'Security Agent', '750', 'B3C022');
INSERT INTO Staff VALUES ('S0217', 'Adhira', 'Dsouza', '1756', 'Polling Agent', '1000', 'B4C022');
INSERT INTO Staff VALUES ('S0218', 'Deepak', 'Sullad', '2311', 'Security Agent', '750', 'B5C022');
INSERT INTO Staff VALUES ('S0219', 'Jayanth', 'Kaur', '1121', 'Polling Agent', '1000', 'B1C023');
INSERT INTO Staff VALUES ('S0220', 'Grishma', 'Gamskar', '1430', 'Security Agent', '750', 'B2C023');
INSERT INTO Staff VALUES ('S0221', 'Deepika', 'Bansal', '1447', 'Polling Agent', '1000', 'B3C023');
INSERT INTO Staff VALUES ('S0222', 'Charan', 'Mendonsa', '1482', 'Security Agent', '750', 'B4C023');
INSERT INTO Staff VALUES ('S0223', 'Dwarakanath', 'Thampy', '1516', 'Polling Agent', '1000', 'B5C023');
INSERT INTO Staff VALUES ('S0224', 'Pavati', 'Chatterjee', '1599', 'Security Agent', '750', 'B1C023');
INSERT INTO Staff VALUES ('S0225', 'Avni', 'Kouser', '1608', 'Polling Agent', '1000', 'B2C023');
INSERT INTO Staff VALUES ('S0226', 'Krish', 'Gatty', '1673', 'Security Agent', '750', 'B3C023');
INSERT INTO Staff VALUES ('S0227', 'Advaith', 'Namnaik', '1708', 'Polling Agent', '1000', 'B4C023');
INSERT INTO Staff VALUES ('S0228', 'Anika', 'Prabhu', '1721', 'Security Agent', '750', 'B5C023');
INSERT INTO Staff VALUES ('S0229', 'Aloke', 'Shet', '1031', 'Polling Agent', '1000', 'B1C024');
INSERT INTO Staff VALUES ('S0230', 'Saranya', 'Prabhu', '1610', 'Security Agent', '750', 'B2C024');
INSERT INTO Staff VALUES ('S0231', 'Ananth', 'Holla', '1793', 'Polling Agent', '1000', 'B3C024');
INSERT INTO Staff VALUES ('S0232', 'Anika', 'Chavare', '1801', 'Security Agent', '750', 'B4C024');
INSERT INTO Staff VALUES ('S0233', 'Ansh', 'Rai', '1913', 'Polling Agent', '1000', 'B5C024');
INSERT INTO Staff VALUES ('S0234', 'Warinder', 'Gatty', '1946', 'Security Agent', '750', 'B1C024');
INSERT INTO Staff VALUES ('S0235', 'Supriya', 'Shroff', '1992', 'Polling Agent', '1000', 'B2C024');
INSERT INTO Staff VALUES ('S0236', 'Akshatha', 'Hiremath', '2013', 'Security Agent', '750', 'B3C024');
INSERT INTO Staff VALUES ('S0237', 'Shona', 'Anchan', '2055', 'Polling Agent', '1000', 'B4C024');
